제목,가격,e북가격,연도,등수
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
금단의 마술,16080, ,2024.02.02.,소설 7위
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,2024.01.31.,소설 79위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 112위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 76위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 91위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 66위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 47위
멜랑콜리아 1-2 (2023년 노벨문학상 수상작가 욘 포세 대표작),14540,10710,2023.10.06.,소설 128위
