제목,가격,e북가격,연도,등수
세이노의 가르침 (피보다 진하게 살아라),6480,0,2023.03.02.,자기계발 3위
히든 포텐셜 (성공을 이루는 숨은 잠재력의 과학),19800,15840,2024.01.25.,자기계발 20위
"나폴레온 힐 당신은 반드시 성공할 것이다 (역사가 증명한 부의 바이블, 나폴레온 힐 성공 철학의 모든 것)",16930, ,2024.01.22.,자기계발 62위
퓨처 셀프 (현재와 미래가 달라지는 놀라운 혁명),17290,12474,2023.08.30.,자기계발 2위
마음 지구력 (삶의 경로를 재탐색하는 발칙한 끈기에 대한 이야기),19800,15840,2024.01.10.,자기계발 16위
데일 카네기 인간관계론(무삭제 완역본) (How to Win Friends & Influence People),17820,12474,2023.11.29.,자기계발 17위
데일 카네기 인생경영론,10260,7920,2023.12.15.,자기계발 78위
데일 카네기 인간관계론(한글+영문판 세트) (How to Win Friends & Influence People),33860,24948,2023.11.29.,자기계발 33위
데일 카네기 자기관리론(국내최초 초판 무삭제 완역본) (국내최초 초판 무삭제 완역본),10350, ,2021.01.13.,자기계발 21위
데일 카네기 인간관계론(영문판 무삭제 오리지널) (How to Win Friends & Influence People),16930,12474,2023.11.29.,자기계발 137위
적을 만들지 않는 대화법(15주년 특별기념판) (사람을 얻는 마법의 대화 기술 56),14540, ,2023.12.10.,자기계발 130위
"그릿 (IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘)",16200,11340,2022.12.19.,자기계발 22위
어차피 일할 거라면 원하는 일 할게요 (내 삶과 일의 방향을 확립해나가는 자기발견 갭이어 프로젝트),14540,10710,2024.01.11.,자기계발 121위
하와이 대저택 100일 미라클,17820, ,2024.01.25.,자기계발 1위
무기가 되는 글쓰기 (즉시 판매로 연결되는 마케터의 실전 작문법),19670,14490,2024.01.10.,경제/경영 43위
원씽(The One Thing) (복잡한 세상을 이기는 단순함의 힘),9000,10590,2013.08.30.,자기계발 11위
아주 세속적인 지혜 (400년 동안 사랑받은 인생의 고전),11550,8550,2023.03.24.,자기계발 25위
성공하는 사람들의 7가지 습관(30주년 에디션) (30주년 뉴에디션),23940,18000,2023.05.30.,자기계발 100위
밥 프록터의 본 리치 (부와 성공을 이루는 10가지 위대한 발견),15120,10584,2024.01.19.,자기계발 19위
"나폴레온 힐 성공의 법칙(국내 최초 완역 정본) (국내 최초 완역 정본, 최신 개정판)",22230, ,2023.06.22.,자기계발 139위
미라클모닝 확장판 (더 쉽고 더 확실하게 더 원하는 삶으로 바꿀 수 있다),16680,14040,2024.01.25.,자기계발 37위
놀라움의 힘 (내 삶을 바꾸는 놀라움의 비밀),19800,13860,2024.01.03.,자기계발 14위
"더 시스템(THE SYSTEM) (거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법, 개정판)",15390,11700,2024.01.29.,자기계발 45위
아주 작은 습관의 힘 (최고의 변화는 어떻게 만들어지는가),14400,10080,2019.02.26.,자기계발 13위
역행자(확장판) (돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집),17550, ,2023.05.29.,자기계발 6위
3배속 공부법 (서울대 의대·치대·공대를 석권한 공부의 신이 알려주는 합격의 절대 법칙),14370,10584,2024.01.22.,자기계발 105위
보도 섀퍼 부의 레버리지 (경제적 자유로 가는 가장 빠르고 확실한 길),14970,11025,2023.02.07.,자기계발 136위
당신이 생각하는 모든 것을 믿지 말라,16200,13050,2023.11.22.,자기계발 8위
100일 아침 습관의 기적 (최고의 나를 만나는 하루 20분의 약속),17100, ,2023.11.29.,자기계발 24위
"내가 원하는 곳에 나를 데려가라 (네빌 고다드, 부와 성공의 자기선언)",16250, ,2024.01.31.,자기계발 39위
